"id","statistic_yyy","site_id","birth_order","birth_sex","mother_age","birth_count"
55,109,"新北市板橋區","7胎","男","未滿15歲",0
56,109,"新北市板橋區","7胎","男","15～19歲",0
57,109,"新北市板橋區","7胎","男","20～24歲",0
58,109,"新北市板橋區","7胎","男","25～29歲",0
59,109,"新北市板橋區","7胎","男","30～34歲",0
60,109,"新北市板橋區","7胎","男","35～39歲",0
61,109,"新北市板橋區","7胎","男","40～44歲",0
62,109,"新北市板橋區","7胎","男","45～49歲",0
63,109,"新北市板橋區","7胎","男","50歲以上",0
64,109,"新北市板橋區","8胎","男","未滿15歲",0
65,109,"新北市板橋區","8胎","男","15～19歲",0
66,109,"新北市板橋區","8胎","男","20～24歲",0
67,109,"新北市板橋區","8胎","男","25～29歲",0
68,109,"新北市板橋區","8胎","男","30～34歲",0
69,109,"新北市板橋區","8胎","男","35～39歲",0
70,109,"新北市板橋區","8胎","男","40～44歲",0
71,109,"新北市板橋區","8胎","男","45～49歲",0
72,109,"新北市板橋區","8胎","男","50歲以上",0
73,109,"新北市板橋區","9胎以上","男","未滿15歲",0
74,109,"新北市板橋區","9胎以上","男","15～19歲",0
75,109,"新北市板橋區","9胎以上","男","20～24歲",0
76,109,"新北市板橋區","9胎以上","男","25～29歲",0
77,109,"新北市板橋區","9胎以上","男","30～34歲",0
78,109,"新北市板橋區","9胎以上","男","35～39歲",0
79,109,"新北市板橋區","9胎以上","男","40～44歲",0
80,109,"新北市板橋區","9胎以上","男","45～49歲",0
81,109,"新北市板橋區","9胎以上","男","50歲以上",0
82,109,"新北市板橋區","1胎","女","未滿15歲",0
83,109,"新北市板橋區","1胎","女","15～19歲",12
84,109,"新北市板橋區","1胎","女","20～24歲",67
85,109,"新北市板橋區","1胎","女","25～29歲",214
86,109,"新北市板橋區","1胎","女","30～34歲",364
87,109,"新北市板橋區","1胎","女","35～39歲",244
88,109,"新北市板橋區","1胎","女","40～44歲",74
89,109,"新北市板橋區","1胎","女","45～49歲",6
90,109,"新北市板橋區","1胎","女","50歲以上",0
91,109,"新北市板橋區","2胎","女","未滿15歲",0
92,109,"新北市板橋區","2胎","女","15～19歲",2
93,109,"新北市板橋區","2胎","女","20～24歲",22
94,109,"新北市板橋區","2胎","女","25～29歲",100
95,109,"新北市板橋區","2胎","女","30～34歲",236
96,109,"新北市板橋區","2胎","女","35～39歲",241
97,109,"新北市板橋區","2胎","女","40～44歲",54
98,109,"新北市板橋區","2胎","女","45～49歲",0
99,109,"新北市板橋區","2胎","女","50歲以上",0
100,109,"新北市板橋區","3胎","女","未滿15歲",0
101,109,"新北市板橋區","3胎","女","15～19歲",0
102,109,"新北市板橋區","3胎","女","20～24歲",3
103,109,"新北市板橋區","3胎","女","25～29歲",13
104,109,"新北市板橋區","3胎","女","30～34歲",38
105,109,"新北市板橋區","3胎","女","35～39歲",44
106,109,"新北市板橋區","3胎","女","40～44歲",10
107,109,"新北市板橋區","3胎","女","45～49歲",0
108,109,"新北市板橋區","3胎","女","50歲以上",0
109,109,"新北市板橋區","4胎","女","未滿15歲",0
110,109,"新北市板橋區","4胎","女","15～19歲",0
111,109,"新北市板橋區","4胎","女","20～24歲",0
112,109,"新北市板橋區","4胎","女","25～29歲",2
113,109,"新北市板橋區","4胎","女","30～34歲",6
114,109,"新北市板橋區","4胎","女","35～39歲",10
115,109,"新北市板橋區","4胎","女","40～44歲",8
116,109,"新北市板橋區","4胎","女","45～49歲",0
117,109,"新北市板橋區","4胎","女","50歲以上",0
118,109,"新北市板橋區","5胎","女","未滿15歲",0
119,109,"新北市板橋區","5胎","女","15～19歲",0
120,109,"新北市板橋區","5胎","女","20～24歲",0
121,109,"新北市板橋區","5胎","女","25～29歲",2
122,109,"新北市板橋區","5胎","女","30～34歲",1
123,109,"新北市板橋區","5胎","女","35～39歲",0
124,109,"新北市板橋區","5胎","女","40～44歲",0
125,109,"新北市板橋區","5胎","女","45～49歲",1
126,109,"新北市板橋區","5胎","女","50歲以上",0
127,109,"新北市板橋區","6胎","女","未滿15歲",0
128,109,"新北市板橋區","6胎","女","15～19歲",0
129,109,"新北市板橋區","6胎","女","20～24歲",0
130,109,"新北市板橋區","6胎","女","25～29歲",0
131,109,"新北市板橋區","6胎","女","30～34歲",1
132,109,"新北市板橋區","6胎","女","35～39歲",0
133,109,"新北市板橋區","6胎","女","40～44歲",0
134,109,"新北市板橋區","6胎","女","45～49歲",0
135,109,"新北市板橋區","6胎","女","50歲以上",0
136,109,"新北市板橋區","7胎","女","未滿15歲",0
137,109,"新北市板橋區","7胎","女","15～19歲",0
138,109,"新北市板橋區","7胎","女","20～24歲",0
139,109,"新北市板橋區","7胎","女","25～29歲",0
140,109,"新北市板橋區","7胎","女","30～34歲",0
141,109,"新北市板橋區","7胎","女","35～39歲",0
142,109,"新北市板橋區","7胎","女","40～44歲",0
143,109,"新北市板橋區","7胎","女","45～49歲",0
144,109,"新北市板橋區","7胎","女","50歲以上",0
145,109,"新北市板橋區","8胎","女","未滿15歲",0
146,109,"新北市板橋區","8胎","女","15～19歲",0
147,109,"新北市板橋區","8胎","女","20～24歲",0
148,109,"新北市板橋區","8胎","女","25～29歲",0
149,109,"新北市板橋區","8胎","女","30～34歲",0
150,109,"新北市板橋區","8胎","女","35～39歲",0
151,109,"新北市板橋區","8胎","女","40～44歲",0
152,109,"新北市板橋區","8胎","女","45～49歲",0
153,109,"新北市板橋區","8胎","女","50歲以上",0
154,109,"新北市板橋區","9胎以上","女","未滿15歲",0
155,109,"新北市板橋區","9胎以上","女","15～19歲",0
156,109,"新北市板橋區","9胎以上","女","20～24歲",0
157,109,"新北市板橋區","9胎以上","女","25～29歲",0
158,109,"新北市板橋區","9胎以上","女","30～34歲",0
159,109,"新北市板橋區","9胎以上","女","35～39歲",0
160,109,"新北市板橋區","9胎以上","女","40～44歲",0
161,109,"新北市板橋區","9胎以上","女","45～49歲",0
162,109,"新北市板橋區","9胎以上","女","50歲以上",0
163,109,"新北市三重區","1胎","男","未滿15歲",0
164,109,"新北市三重區","1胎","男","15～19歲",10
165,109,"新北市三重區","1胎","男","20～24歲",78
166,109,"新北市三重區","1胎","男","25～29歲",164
167,109,"新北市三重區","1胎","男","30～34歲",238
168,109,"新北市三重區","1胎","男","35～39歲",162
169,109,"新北市三重區","1胎","男","40～44歲",30
170,109,"新北市三重區","1胎","男","45～49歲",2
171,109,"新北市三重區","1胎","男","50歲以上",1
172,109,"新北市三重區","2胎","男","未滿15歲",0
173,109,"新北市三重區","2胎","男","15～19歲",0
174,109,"新北市三重區","2胎","男","20～24歲",19
175,109,"新北市三重區","2胎","男","25～29歲",67
176,109,"新北市三重區","2胎","男","30～34歲",166
177,109,"新北市三重區","2胎","男","35～39歲",144
178,109,"新北市三重區","2胎","男","40～44歲",33
179,109,"新北市三重區","2胎","男","45～49歲",1
180,109,"新北市三重區","2胎","男","50歲以上",0
181,109,"新北市三重區","3胎","男","未滿15歲",0
182,109,"新北市三重區","3胎","男","15～19歲",0
183,109,"新北市三重區","3胎","男","20～24歲",4
184,109,"新北市三重區","3胎","男","25～29歲",12
185,109,"新北市三重區","3胎","男","30～34歲",32
186,109,"新北市三重區","3胎","男","35～39歲",38
187,109,"新北市三重區","3胎","男","40～44歲",12
188,109,"新北市三重區","3胎","男","45～49歲",1
189,109,"新北市三重區","3胎","男","50歲以上",0
190,109,"新北市三重區","4胎","男","未滿15歲",0
191,109,"新北市三重區","4胎","男","15～19歲",0
192,109,"新北市三重區","4胎","男","20～24歲",0
193,109,"新北市三重區","4胎","男","25～29歲",2
194,109,"新北市三重區","4胎","男","30～34歲",9
195,109,"新北市三重區","4胎","男","35～39歲",6
196,109,"新北市三重區","4胎","男","40～44歲",4
197,109,"新北市三重區","4胎","男","45～49歲",1
198,109,"新北市三重區","4胎","男","50歲以上",0
199,109,"新北市三重區","5胎","男","未滿15歲",0
200,109,"新北市三重區","5胎","男","15～19歲",0
201,109,"新北市三重區","5胎","男","20～24歲",0
202,109,"新北市三重區","5胎","男","25～29歲",0
203,109,"新北市三重區","5胎","男","30～34歲",2
204,109,"新北市三重區","5胎","男","35～39歲",3
205,109,"新北市三重區","5胎","男","40～44歲",1
206,109,"新北市三重區","5胎","男","45～49歲",0
207,109,"新北市三重區","5胎","男","50歲以上",0
208,109,"新北市三重區","6胎","男","未滿15歲",0
209,109,"新北市三重區","6胎","男","15～19歲",0
210,109,"新北市三重區","6胎","男","20～24歲",0
211,109,"新北市三重區","6胎","男","25～29歲",0
212,109,"新北市三重區","6胎","男","30～34歲",0
213,109,"新北市三重區","6胎","男","35～39歲",0
214,109,"新北市三重區","6胎","男","40～44歲",1
215,109,"新北市三重區","6胎","男","45～49歲",0
216,109,"新北市三重區","6胎","男","50歲以上",0
217,109,"新北市三重區","7胎","男","未滿15歲",0
218,109,"新北市三重區","7胎","男","15～19歲",0
219,109,"新北市三重區","7胎","男","20～24歲",0
220,109,"新北市三重區","7胎","男","25～29歲",0
221,109,"新北市三重區","7胎","男","30～34歲",0
222,109,"新北市三重區","7胎","男","35～39歲",0
223,109,"新北市三重區","7胎","男","40～44歲",0
224,109,"新北市三重區","7胎","男","45～49歲",0
225,109,"新北市三重區","7胎","男","50歲以上",0
226,109,"新北市三重區","8胎","男","未滿15歲",0
227,109,"新北市三重區","8胎","男","15～19歲",0
228,109,"新北市三重區","8胎","男","20～24歲",0
229,109,"新北市三重區","8胎","男","25～29歲",0
230,109,"新北市三重區","8胎","男","30～34歲",0
231,109,"新北市三重區","8胎","男","35～39歲",0
232,109,"新北市三重區","8胎","男","40～44歲",0
233,109,"新北市三重區","8胎","男","45～49歲",0
234,109,"新北市三重區","8胎","男","50歲以上",0
235,109,"新北市三重區","9胎以上","男","未滿15歲",0
236,109,"新北市三重區","9胎以上","男","15～19歲",0
237,109,"新北市三重區","9胎以上","男","20～24歲",0
238,109,"新北市三重區","9胎以上","男","25～29歲",0
239,109,"新北市三重區","9胎以上","男","30～34歲",0
240,109,"新北市三重區","9胎以上","男","35～39歲",0
241,109,"新北市三重區","9胎以上","男","40～44歲",0
242,109,"新北市三重區","9胎以上","男","45～49歲",0
243,109,"新北市三重區","9胎以上","男","50歲以上",0
244,109,"新北市三重區","1胎","女","未滿15歲",0
245,109,"新北市三重區","1胎","女","15～19歲",11
246,109,"新北市三重區","1胎","女","20～24歲",63
247,109,"新北市三重區","1胎","女","25～29歲",171
248,109,"新北市三重區","1胎","女","30～34歲",270
249,109,"新北市三重區","1胎","女","35～39歲",150
250,109,"新北市三重區","1胎","女","40～44歲",32
251,109,"新北市三重區","1胎","女","45～49歲",1
252,109,"新北市三重區","1胎","女","50歲以上",1
253,109,"新北市三重區","2胎","女","未滿15歲",0
254,109,"新北市三重區","2胎","女","15～19歲",1
255,109,"新北市三重區","2胎","女","20～24歲",10
256,109,"新北市三重區","2胎","女","25～29歲",68
257,109,"新北市三重區","2胎","女","30～34歲",154
258,109,"新北市三重區","2胎","女","35～39歲",149
259,109,"新北市三重區","2胎","女","40～44歲",32
260,109,"新北市三重區","2胎","女","45～49歲",1
261,109,"新北市三重區","2胎","女","50歲以上",1
262,109,"新北市三重區","3胎","女","未滿15歲",0
263,109,"新北市三重區","3胎","女","15～19歲",0
264,109,"新北市三重區","3胎","女","20～24歲",2
265,109,"新北市三重區","3胎","女","25～29歲",10
266,109,"新北市三重區","3胎","女","30～34歲",20
267,109,"新北市三重區","3胎","女","35～39歲",34
268,109,"新北市三重區","3胎","女","40～44歲",16
269,109,"新北市三重區","3胎","女","45～49歲",2
270,109,"新北市三重區","3胎","女","50歲以上",0
271,109,"新北市三重區","4胎","女","未滿15歲",0
272,109,"新北市三重區","4胎","女","15～19歲",0
273,109,"新北市三重區","4胎","女","20～24歲",0
274,109,"新北市三重區","4胎","女","25～29歲",3
275,109,"新北市三重區","4胎","女","30～34歲",2
276,109,"新北市三重區","4胎","女","35～39歲",5
277,109,"新北市三重區","4胎","女","40～44歲",7
278,109,"新北市三重區","4胎","女","45～49歲",0
279,109,"新北市三重區","4胎","女","50歲以上",0
280,109,"新北市三重區","5胎","女","未滿15歲",0
281,109,"新北市三重區","5胎","女","15～19歲",0
282,109,"新北市三重區","5胎","女","20～24歲",0
283,109,"新北市三重區","5胎","女","25～29歲",0
284,109,"新北市三重區","5胎","女","30～34歲",2
285,109,"新北市三重區","5胎","女","35～39歲",1
286,109,"新北市三重區","5胎","女","40～44歲",3
287,109,"新北市三重區","5胎","女","45～49歲",0
288,109,"新北市三重區","5胎","女","50歲以上",0
289,109,"新北市三重區","6胎","女","未滿15歲",0
290,109,"新北市三重區","6胎","女","15～19歲",0
291,109,"新北市三重區","6胎","女","20～24歲",0
292,109,"新北市三重區","6胎","女","25～29歲",0
293,109,"新北市三重區","6胎","女","30～34歲",1
294,109,"新北市三重區","6胎","女","35～39歲",0
295,109,"新北市三重區","6胎","女","40～44歲",0
296,109,"新北市三重區","6胎","女","45～49歲",0
297,109,"新北市三重區","6胎","女","50歲以上",0
298,109,"新北市三重區","7胎","女","未滿15歲",0
299,109,"新北市三重區","7胎","女","15～19歲",0
300,109,"新北市三重區","7胎","女","20～24歲",0
301,109,"新北市三重區","7胎","女","25～29歲",0
302,109,"新北市三重區","7胎","女","30～34歲",0
303,109,"新北市三重區","7胎","女","35～39歲",0
304,109,"新北市三重區","7胎","女","40～44歲",1
305,109,"新北市三重區","7胎","女","45～49歲",0
306,109,"新北市三重區","7胎","女","50歲以上",0
307,109,"新北市三重區","8胎","女","未滿15歲",0
308,109,"新北市三重區","8胎","女","15～19歲",0
309,109,"新北市三重區","8胎","女","20～24歲",0
310,109,"新北市三重區","8胎","女","25～29歲",0
311,109,"新北市三重區","8胎","女","30～34歲",0
312,109,"新北市三重區","8胎","女","35～39歲",0
313,109,"新北市三重區","8胎","女","40～44歲",0
314,109,"新北市三重區","8胎","女","45～49歲",0
315,109,"新北市三重區","8胎","女","50歲以上",0
316,109,"新北市三重區","9胎以上","女","未滿15歲",0
317,109,"新北市三重區","9胎以上","女","15～19歲",0
318,109,"新北市三重區","9胎以上","女","20～24歲",0
319,109,"新北市三重區","9胎以上","女","25～29歲",0
320,109,"新北市三重區","9胎以上","女","30～34歲",0
321,109,"新北市三重區","9胎以上","女","35～39歲",0
322,109,"新北市三重區","9胎以上","女","40～44歲",0
323,109,"新北市三重區","9胎以上","女","45～49歲",0
324,109,"新北市三重區","9胎以上","女","50歲以上",0
325,109,"新北市中和區","1胎","男","未滿15歲",0
326,109,"新北市中和區","1胎","男","15～19歲",8
327,109,"新北市中和區","1胎","男","20～24歲",53
328,109,"新北市中和區","1胎","男","25～29歲",158
329,109,"新北市中和區","1胎","男","30～34歲",262
330,109,"新北市中和區","1胎","男","35～39歲",189
331,109,"新北市中和區","1胎","男","40～44歲",39
332,109,"新北市中和區","1胎","男","45～49歲",2
333,109,"新北市中和區","1胎","男","50歲以上",1
334,109,"新北市中和區","2胎","男","未滿15歲",0
335,109,"新北市中和區","2胎","男","15～19歲",4
336,109,"新北市中和區","2胎","男","20～24歲",19
337,109,"新北市中和區","2胎","男","25～29歲",69
338,109,"新北市中和區","2胎","男","30～34歲",174
339,109,"新北市中和區","2胎","男","35～39歲",161
340,109,"新北市中和區","2胎","男","40～44歲",37
341,109,"新北市中和區","2胎","男","45～49歲",0
342,109,"新北市中和區","2胎","男","50歲以上",0
343,109,"新北市中和區","3胎","男","未滿15歲",0
344,109,"新北市中和區","3胎","男","15～19歲",1
345,109,"新北市中和區","3胎","男","20～24歲",1
346,109,"新北市中和區","3胎","男","25～29歲",8
347,109,"新北市中和區","3胎","男","30～34歲",22
348,109,"新北市中和區","3胎","男","35～39歲",29
349,109,"新北市中和區","3胎","男","40～44歲",7
350,109,"新北市中和區","3胎","男","45～49歲",0
351,109,"新北市中和區","3胎","男","50歲以上",0
352,109,"新北市中和區","4胎","男","未滿15歲",0
353,109,"新北市中和區","4胎","男","15～19歲",0
354,109,"新北市中和區","4胎","男","20～24歲",0
355,109,"新北市中和區","4胎","男","25～29歲",3
356,109,"新北市中和區","4胎","男","30～34歲",2
357,109,"新北市中和區","4胎","男","35～39歲",11
358,109,"新北市中和區","4胎","男","40～44歲",2
359,109,"新北市中和區","4胎","男","45～49歲",0
360,109,"新北市中和區","4胎","男","50歲以上",0
361,109,"新北市中和區","5胎","男","未滿15歲",0
362,109,"新北市中和區","5胎","男","15～19歲",0
363,109,"新北市中和區","5胎","男","20～24歲",0
364,109,"新北市中和區","5胎","男","25～29歲",0
365,109,"新北市中和區","5胎","男","30～34歲",0
366,109,"新北市中和區","5胎","男","35～39歲",2
367,109,"新北市中和區","5胎","男","40～44歲",0
368,109,"新北市中和區","5胎","男","45～49歲",0
369,109,"新北市中和區","5胎","男","50歲以上",0
370,109,"新北市中和區","6胎","男","未滿15歲",0
371,109,"新北市中和區","6胎","男","15～19歲",0
372,109,"新北市中和區","6胎","男","20～24歲",0
373,109,"新北市中和區","6胎","男","25～29歲",1
374,109,"新北市中和區","6胎","男","30～34歲",0
375,109,"新北市中和區","6胎","男","35～39歲",0
376,109,"新北市中和區","6胎","男","40～44歲",0
377,109,"新北市中和區","6胎","男","45～49歲",0
378,109,"新北市中和區","6胎","男","50歲以上",0
379,109,"新北市中和區","7胎","男","未滿15歲",0
380,109,"新北市中和區","7胎","男","15～19歲",0
381,109,"新北市中和區","7胎","男","20～24歲",0
382,109,"新北市中和區","7胎","男","25～29歲",0
383,109,"新北市中和區","7胎","男","30～34歲",0
384,109,"新北市中和區","7胎","男","35～39歲",0
385,109,"新北市中和區","7胎","男","40～44歲",0
386,109,"新北市中和區","7胎","男","45～49歲",0
387,109,"新北市中和區","7胎","男","50歲以上",0
388,109,"新北市中和區","8胎","男","未滿15歲",0
389,109,"新北市中和區","8胎","男","15～19歲",0
390,109,"新北市中和區","8胎","男","20～24歲",0
391,109,"新北市中和區","8胎","男","25～29歲",0
392,109,"新北市中和區","8胎","男","30～34歲",0
393,109,"新北市中和區","8胎","男","35～39歲",0
394,109,"新北市中和區","8胎","男","40～44歲",0
395,109,"新北市中和區","8胎","男","45～49歲",0
396,109,"新北市中和區","8胎","男","50歲以上",0
397,109,"新北市中和區","9胎以上","男","未滿15歲",0
398,109,"新北市中和區","9胎以上","男","15～19歲",0
399,109,"新北市中和區","9胎以上","男","20～24歲",0
400,109,"新北市中和區","9胎以上","男","25～29歲",0
401,109,"新北市中和區","9胎以上","男","30～34歲",0
402,109,"新北市中和區","9胎以上","男","35～39歲",0
403,109,"新北市中和區","9胎以上","男","40～44歲",0
404,109,"新北市中和區","9胎以上","男","45～49歲",0
405,109,"新北市中和區","9胎以上","男","50歲以上",0
406,109,"新北市中和區","1胎","女","未滿15歲",0
407,109,"新北市中和區","1胎","女","15～19歲",9
408,109,"新北市中和區","1胎","女","20～24歲",53
409,109,"新北市中和區","1胎","女","25～29歲",129
410,109,"新北市中和區","1胎","女","30～34歲",283
411,109,"新北市中和區","1胎","女","35～39歲",159
412,109,"新北市中和區","1胎","女","40～44歲",36
413,109,"新北市中和區","1胎","女","45～49歲",3
414,109,"新北市中和區","1胎","女","50歲以上",1
415,109,"新北市中和區","2胎","女","未滿15歲",0
416,109,"新北市中和區","2胎","女","15～19歲",0
417,109,"新北市中和區","2胎","女","20～24歲",22
418,109,"新北市中和區","2胎","女","25～29歲",55
419,109,"新北市中和區","2胎","女","30～34歲",143
420,109,"新北市中和區","2胎","女","35～39歲",160
421,109,"新北市中和區","2胎","女","40～44歲",45
422,109,"新北市中和區","2胎","女","45～49歲",4
423,109,"新北市中和區","2胎","女","50歲以上",0
424,109,"新北市中和區","3胎","女","未滿15歲",0
425,109,"新北市中和區","3胎","女","15～19歲",0
426,109,"新北市中和區","3胎","女","20～24歲",0
427,109,"新北市中和區","3胎","女","25～29歲",7
428,109,"新北市中和區","3胎","女","30～34歲",18
429,109,"新北市中和區","3胎","女","35～39歲",36
430,109,"新北市中和區","3胎","女","40～44歲",13
431,109,"新北市中和區","3胎","女","45～49歲",1
432,109,"新北市中和區","3胎","女","50歲以上",0
433,109,"新北市中和區","4胎","女","未滿15歲",0
434,109,"新北市中和區","4胎","女","15～19歲",0
435,109,"新北市中和區","4胎","女","20～24歲",0
436,109,"新北市中和區","4胎","女","25～29歲",0
437,109,"新北市中和區","4胎","女","30～34歲",1
438,109,"新北市中和區","4胎","女","35～39歲",6
439,109,"新北市中和區","4胎","女","40～44歲",3
440,109,"新北市中和區","4胎","女","45～49歲",0
441,109,"新北市中和區","4胎","女","50歲以上",0
442,109,"新北市中和區","5胎","女","未滿15歲",0
443,109,"新北市中和區","5胎","女","15～19歲",0
444,109,"新北市中和區","5胎","女","20～24歲",0
445,109,"新北市中和區","5胎","女","25～29歲",0
446,109,"新北市中和區","5胎","女","30～34歲",1
447,109,"新北市中和區","5胎","女","35～39歲",2
448,109,"新北市中和區","5胎","女","40～44歲",0
449,109,"新北市中和區","5胎","女","45～49歲",0
450,109,"新北市中和區","5胎","女","50歲以上",0
451,109,"新北市中和區","6胎","女","未滿15歲",0
452,109,"新北市中和區","6胎","女","15～19歲",0
453,109,"新北市中和區","6胎","女","20～24歲",0
454,109,"新北市中和區","6胎","女","25～29歲",0
455,109,"新北市中和區","6胎","女","30～34歲",0
456,109,"新北市中和區","6胎","女","35～39歲",1
457,109,"新北市中和區","6胎","女","40～44歲",0
458,109,"新北市中和區","6胎","女","45～49歲",0
459,109,"新北市中和區","6胎","女","50歲以上",0
460,109,"新北市中和區","7胎","女","未滿15歲",0
461,109,"新北市中和區","7胎","女","15～19歲",0
462,109,"新北市中和區","7胎","女","20～24歲",0
463,109,"新北市中和區","7胎","女","25～29歲",0
464,109,"新北市中和區","7胎","女","30～34歲",0
465,109,"新北市中和區","7胎","女","35～39歲",0
466,109,"新北市中和區","7胎","女","40～44歲",0
467,109,"新北市中和區","7胎","女","45～49歲",0
468,109,"新北市中和區","7胎","女","50歲以上",0
469,109,"新北市中和區","8胎","女","未滿15歲",0
470,109,"新北市中和區","8胎","女","15～19歲",0
471,109,"新北市中和區","8胎","女","20～24歲",0
472,109,"新北市中和區","8胎","女","25～29歲",0
473,109,"新北市中和區","8胎","女","30～34歲",0
474,109,"新北市中和區","8胎","女","35～39歲",0
475,109,"新北市中和區","8胎","女","40～44歲",0
476,109,"新北市中和區","8胎","女","45～49歲",0
477,109,"新北市中和區","8胎","女","50歲以上",0
478,109,"新北市中和區","9胎以上","女","未滿15歲",0
479,109,"新北市中和區","9胎以上","女","15～19歲",0
480,109,"新北市中和區","9胎以上","女","20～24歲",0
481,109,"新北市中和區","9胎以上","女","25～29歲",0
482,109,"新北市中和區","9胎以上","女","30～34歲",0
483,109,"新北市中和區","9胎以上","女","35～39歲",0
484,109,"新北市中和區","9胎以上","女","40～44歲",1
485,109,"新北市中和區","9胎以上","女","45～49歲",0
486,109,"新北市中和區","9胎以上","女","50歲以上",0
487,109,"新北市永和區","1胎","男","未滿15歲",0
488,109,"新北市永和區","1胎","男","15～19歲",4
489,109,"新北市永和區","1胎","男","20～24歲",19
490,109,"新北市永和區","1胎","男","25～29歲",75
491,109,"新北市永和區","1胎","男","30～34歲",124
492,109,"新北市永和區","1胎","男","35～39歲",79
493,109,"新北市永和區","1胎","男","40～44歲",15
494,109,"新北市永和區","1胎","男","45～49歲",0
495,109,"新北市永和區","1胎","男","50歲以上",0
496,109,"新北市永和區","2胎","男","未滿15歲",0
497,109,"新北市永和區","2胎","男","15～19歲",1
498,109,"新北市永和區","2胎","男","20～24歲",6
499,109,"新北市永和區","2胎","男","25～29歲",19
500,109,"新北市永和區","2胎","男","30～34歲",66
501,109,"新北市永和區","2胎","男","35～39歲",82
502,109,"新北市永和區","2胎","男","40～44歲",21
503,109,"新北市永和區","2胎","男","45～49歲",0
504,109,"新北市永和區","2胎","男","50歲以上",0
505,109,"新北市永和區","3胎","男","未滿15歲",0
506,109,"新北市永和區","3胎","男","15～19歲",0
507,109,"新北市永和區","3胎","男","20～24歲",0
508,109,"新北市永和區","3胎","男","25～29歲",2
509,109,"新北市永和區","3胎","男","30～34歲",9
510,109,"新北市永和區","3胎","男","35～39歲",16
511,109,"新北市永和區","3胎","男","40～44歲",9
512,109,"新北市永和區","3胎","男","45～49歲",0
513,109,"新北市永和區","3胎","男","50歲以上",0
514,109,"新北市永和區","4胎","男","未滿15歲",0
515,109,"新北市永和區","4胎","男","15～19歲",0
516,109,"新北市永和區","4胎","男","20～24歲",0
517,109,"新北市永和區","4胎","男","25～29歲",0
518,109,"新北市永和區","4胎","男","30～34歲",1
519,109,"新北市永和區","4胎","男","35～39歲",4
520,109,"新北市永和區","4胎","男","40～44歲",1
521,109,"新北市永和區","4胎","男","45～49歲",0
522,109,"新北市永和區","4胎","男","50歲以上",0
